カード ID,カード名,エキスパンションマーク,コレクション番号,ポケモンの進化の段階/エネルギー・トレーナーズの種類,ルール,カテゴリ,進化前,HP,タイプ,弱点,抵抗力,にげる,ワザ名,コスト,ダメージ,効果の説明
271,ナンジャモのタイカイデン,MC,279/742,ポケモン/1進化,n/a,トレーナーのポケモン（ナンジャモ）,ナンジャモのカイデン,120,雷,雷,闘,1,[特性]フラッシュドロー,n/a,n/a,自分の番に、このポケモンについている「基本【雷】エネルギー」を1個トラッシュするなら、1回使える。自分の手札が6枚になるように、山札を引く。
271,ナンジャモのタイカイデン,MC,279/742,ポケモン/1進化,n/a,トレーナーのポケモン（ナンジャモ）,ナンジャモのカイデン,120,雷,雷,闘,1,マッハボルト,雷●●,70,n/a
272,リーリエのピッピex,MC,287/742,ポケモン/たね,ex,トレーナーのポケモン（リーリエ）,n/a,190,超,鋼,n/a,1,[特性]フェアリーゾーン,n/a,n/a,このポケモンがいるかぎり、相手の場の【竜】ポケモン全員の弱点は、すべて【超】タイプになる。［弱点は「×2」で計算する。］
272,リーリエのピッピex,MC,287/742,ポケモン/たね,ex,トレーナーのポケモン（リーリエ）,n/a,190,超,鋼,n/a,1,フルムーンロンド,超●,20,おたがいのベンチポケモンの数×20ダメージ追加。
273,ジュペッタ,SV9,036/100,ポケモン/1進化,n/a,n/a,カゲボウズ,90,超,悪,闘,1,のろいのことば,超,n/a,相手は相手自身の手札を3枚選び、山札にもどして切る。
273,ジュペッタ,SV9,036/100,ポケモン/1進化,n/a,n/a,カゲボウズ,90,超,悪,闘,1,ホロウショット,超●,70,n/a
274,ダンバル,SV9,037/100,ポケモン/たね,n/a,n/a,n/a,60,超,悪,闘,1,かいてんアタック,超,10,n/a
274,ダンバル,SV9,037/100,ポケモン/たね,n/a,n/a,n/a,60,超,悪,闘,1,ビーム,超超,30,n/a
275,メタング,SV9,038/100,ポケモン/1進化,n/a,n/a,ダンバル,100,超,悪,闘,2,サイコパンチ,超,30,n/a
275,メタング,SV9,038/100,ポケモン/1進化,n/a,n/a,ダンバル,100,超,悪,闘,2,しねんのずつき,超超,50,n/a
276,メタグロス,SV9,039/100,ポケモン/2進化,n/a,n/a,メタング,170,超,悪,闘,3,たたきつぶす,超,60,n/a
276,メタグロス,SV9,039/100,ポケモン/2進化,n/a,n/a,メタング,170,超,悪,闘,3,ジョイントビーム,超超,130,自分のベンチに「ダンバル」「メタング」がいるなら、150ダメージ追加。
277,Nのシンボラー,SV9,040/100,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,110,超,雷,闘,1,ねんどうだん,超,20,n/a
277,Nのシンボラー,SV9,040/100,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,110,超,雷,闘,1,ビクトリーシンボル,超●●,n/a,このワザを使ったとき、自分のサイドの残り枚数が1枚なら、この対戦は自分の勝ちになる。
278,リーリエのアブリー,MC,338/742,ポケモン/たね,n/a,トレーナーのポケモン（リーリエ）,n/a,30,超,鋼,n/a,n/a,じっとする,超,n/a,このポケモンのHPを「10」回復する。
279,リーリエのアブリボン,MC,339/742,ポケモン/1進化,n/a,トレーナーのポケモン（リーリエ）,リーリエのアブリー,70,超,鋼,n/a,n/a,[特性]おさそいウインク,n/a,n/a,自分の番に、このカードを手札から出して進化させたとき、1回使える。相手の手札を見て、その中から【たね】ポケモンを好きなだけ選び、相手のベンチに出す。
279,リーリエのアブリボン,MC,339/742,ポケモン/1進化,n/a,トレーナーのポケモン（リーリエ）,リーリエのアブリー,70,超,鋼,n/a,n/a,マジカルショット,超,50,n/a
280,リーリエのキュワワー,MC,340/742,ポケモン/たね,n/a,トレーナーのポケモン（リーリエ）,n/a,70,超,鋼,n/a,1,はなまねき,●,n/a,自分の山札から【たね】ポケモンの「リーリエのポケモン」を好きなだけ選び、ベンチに出す。そして山札を切る。
280,リーリエのキュワワー,MC,340/742,ポケモン/たね,n/a,トレーナーのポケモン（リーリエ）,n/a,70,超,鋼,n/a,1,ぱっときえる,超,30,このポケモンと、ついているすべてのカードを、手札にもどす。
281,ウリムー,MC,362/742,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,2,なかまをよぶ,●,n/a,自分の山札から【たね】ポケモンを2枚まで選び、ベンチに出す。そして山札を切る。
281,ウリムー,MC,362/742,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,2,つきたおし,闘,10,n/a
282,イノムー,MC,363/742,ポケモン/1進化,n/a,n/a,ウリムー,100,闘,草,n/a,3,かいりき,●,20,n/a
282,イノムー,MC,363/742,ポケモン/1進化,n/a,n/a,ウリムー,100,闘,草,n/a,3,キバでつく,闘闘,50,n/a
283,マンムーex,MC,364/742,ポケモン/2進化,ex,n/a,イノムー,340,闘,草,n/a,4,[特性]マンモスキャリー,n/a,n/a,自分の番に1回使える。自分の山札からポケモンを1枚選び、相手に見せて、手札に加える。そして山札を切る。
283,マンムーex,MC,364/742,ポケモン/2進化,ex,n/a,イノムー,340,闘,草,n/a,4,とどろくこうしん,闘闘,180,自分のベンチの【2進化】ポケモンの数×40ダメージ追加。
284,ヨーギラス,SV9,047/100,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,1,かみくだく,●●,20,コインを1回投げオモテなら、相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。
285,サナギラス,SV9,048/100,ポケモン/1進化,n/a,n/a,ヨーギラス,90,闘,草,n/a,1,とっしん,●●,60,このポケモンにも20ダメージ。
286,イワンコ,SV9,051/100,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,1,ほりかえす,●,n/a,自分の山札を上から1枚見て、もとにもどす。のぞむなら、そのカードをトラッシュする。
286,イワンコ,SV9,051/100,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,1,ふむ,●●,20,n/a
287,ルガルガン,SV9,052/100,ポケモン/1進化,n/a,n/a,イワンコ,120,闘,草,n/a,2,[特性]とげをまとう,n/a,n/a,自分の番に、このカードを手札から出して進化させたとき、1回使える。自分のトラッシュから「スパイクエネルギー」を2枚まで選び、このポケモンにつける。
287,ルガルガン,SV9,052/100,ポケモン/1進化,n/a,n/a,イワンコ,120,闘,草,n/a,2,クラッチファング,●●●,40,相手のバトルポケモンにのっているダメカンの数×40ダメージ追加。
288,ホップのスナヘビ,SV9,053/100,ポケモン/たね,n/a,トレーナーのポケモン（ホップ）,n/a,80,闘,草,n/a,2,なわばりづくり,●,n/a,自分の山札からスタジアムを1枚選び、相手に見せて、手札に加える。そして山札を切る。
288,ホップのスナヘビ,SV9,053/100,ポケモン/たね,n/a,トレーナーのポケモン（ホップ）,n/a,80,闘,草,n/a,2,かじる,闘●,20,n/a
289,ホップのサダイジャ,SV9,054/100,ポケモン/1進化,n/a,トレーナーのポケモン（ホップ）,ホップのスナヘビ,140,闘,草,n/a,3,じひびき,闘●,30,次の相手の番、このワザを受けたポケモンは、にげられない。
289,ホップのサダイジャ,SV9,054/100,ポケモン/1進化,n/a,トレーナーのポケモン（ホップ）,ホップのスナヘビ,140,闘,草,n/a,3,グラウンドブレイク,闘●●,140,自分のベンチポケモン全員にも、それぞれ20ダメージ。［ベンチは弱点・抵抗力を計算しない。］
290,バンギラス,SV9,058/100,ポケモン/2進化,n/a,n/a,サナギラス,190,悪,草,n/a,3,[特性]いあつのがんこう,n/a,n/a,このポケモンがバトル場にいるかぎり、相手は手札からグッズを出して使えない。
290,バンギラス,SV9,058/100,ポケモン/2進化,n/a,n/a,サナギラス,190,悪,草,n/a,3,クラックストンプ,悪●,150,相手の山札を上から2枚トラッシュする。
291,Nのチョロネコ,MC,457/742,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,70,悪,草,n/a,1,ちょろまかす,悪●,30,相手の手札を見て、その中からカードを1枚選び、相手の山札の下にもどす。
292,Nのゾロア,MC,469/742,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,70,悪,草,n/a,1,ひっかく,悪,20,n/a
293,Nのゾロアークex,MC,470/742,ポケモン/1進化,ex,トレーナーのポケモン（N）,Nのゾロア,280,悪,草,n/a,2,[特性]とりひき,n/a,n/a,自分の番に、自分の手札を1枚トラッシュするなら、1回使える。自分の山札を2枚引く。
293,Nのゾロアークex,MC,470/742,ポケモン/1進化,ex,トレーナーのポケモン（N）,Nのゾロア,280,悪,草,n/a,2,ナイトジョーカー,悪悪,n/a,自分のベンチの「Nのポケモン」が持つワザを1つ選び、このワザとして使う。
294,Nのギアル,SV9,064/100,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,60,鋼,炎,草,1,ダブルスピン,●,10×,コインを2回投げ、オモテの数×10ダメージ。
295,Nのギギアル,SV9,065/100,ポケモン/1進化,n/a,トレーナーのポケモン（N）,Nのギアル,90,鋼,炎,草,3,ぐるぐるギア,●,20,相手のバトルポケモンを【こんらん】にする。
295,Nのギギアル,SV9,065/100,ポケモン/1進化,n/a,トレーナーのポケモン（N）,Nのギアル,90,鋼,炎,草,3,がちんこ,鋼●,40,n/a
296,Nのギギギアル,SV9,066/100,ポケモン/2進化,n/a,トレーナーのポケモン（N）,Nのギギアル,160,鋼,炎,草,3,マグネブラスト,●,50,n/a
296,Nのギギギアル,SV9,066/100,ポケモン/2進化,n/a,トレーナーのポケモン（N）,Nのギギアル,160,鋼,炎,草,3,トリプルスマッシュ,鋼鋼●,120×,コインを3回投げ、オモテの数×120ダメージ。
297,マギアナ,MC,515/742,ポケモン/たね,n/a,n/a,n/a,90,鋼,炎,草,1,[特性]オートヒール,n/a,n/a,このポケモンがバトル場にいるかぎり、自分の手札からエネルギーをポケモンにつけるたび、そのポケモンのHPを「90」回復する。
297,マギアナ,MC,515/742,ポケモン/たね,n/a,n/a,n/a,90,鋼,炎,草,1,スパイクドロー,●,20,自分の山札を2枚引く。
298,ホップのアーマーガア,MC,520/742,ポケモン/2進化,n/a,トレーナーのポケモン（ホップ）,ホップのアオガラス,170,鋼,雷,闘,2,つきぬける,●,50,相手のベンチポケモン1匹にも、50ダメージ。［ベンチは弱点・抵抗力を計算しない。］
298,ホップのアーマーガア,MC,520/742,ポケモン/2進化,n/a,トレーナーのポケモン（ホップ）,ホップのアオガラス,170,鋼,雷,闘,2,はがねのつばさ,鋼鋼●,150,次の相手の番、このポケモンが受けるワザのダメージは「-60」される。
299,ホップのザシアンex,MC,527/742,ポケモン/たね,ex,トレーナーのポケモン（ホップ）,n/a,230,鋼,炎,草,2,せつなぎり,●,30,相手のベンチポケモン1匹にも、30ダメージ。［ベンチは弱点・抵抗力を計算しない。］
299,ホップのザシアンex,MC,527/742,ポケモン/たね,ex,トレーナーのポケモン（ホップ）,n/a,230,鋼,炎,草,2,ブレイブスラッシュ,鋼鋼鋼●,240,次の自分の番、このポケモンは「ブレイブスラッシュ」が使えない。
300,タツベイ,MC,538/742,ポケモン/たね,n/a,n/a,n/a,70,竜,n/a,n/a,2,かみつく,●,10,n/a
300,タツベイ,MC,538/742,ポケモン/たね,n/a,n/a,n/a,70,竜,n/a,n/a,2,とつげき,炎水,50,このポケモンにも10ダメージ。
301,コモルー,MC,539/742,ポケモン/1進化,n/a,n/a,タツベイ,100,竜,n/a,n/a,2,ガードプレス,●●,30,次の相手の番、このポケモンが受けるワザのダメージは「-30」される。
301,コモルー,MC,539/742,ポケモン/1進化,n/a,n/a,タツベイ,100,竜,n/a,n/a,2,ヘビーインパクト,炎水●,80,n/a
302,ボーマンダex,MC,540/742,ポケモン/2進化,ex,n/a,コモルー,320,竜,n/a,n/a,2,ワイドブラスト,炎●●,n/a,相手のベンチポケモン全員に、それぞれ50ダメージ。［ベンチは弱点・抵抗力を計算しない。］
302,ボーマンダex,MC,540/742,ポケモン/2進化,ex,n/a,コモルー,320,竜,n/a,n/a,2,ドラゴンインパクト,炎水●●,300,このポケモンについているエネルギーを2個選び、トラッシュする。
303,Nのレシラム,MC,545/742,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,130,竜,n/a,n/a,2,パワーレイジ,炎雷,20×,このポケモンにのっているダメカンの数×20ダメージ。
303,Nのレシラム,MC,545/742,ポケモン/たね,n/a,トレーナーのポケモン（N）,n/a,130,竜,n/a,n/a,2,イノセントフレイム,炎炎雷●,170,n/a
304,ホップのカビゴン,MC,569/742,ポケモン/たね,n/a,トレーナーのポケモン（ホップ）,n/a,150,無,闘,n/a,4,[特性]ふとっぱら,n/a,n/a,このポケモンがいるかぎり、自分の「ホップのポケモン」が使うワザの、相手のバトルポケモンへのダメージは「+30」される。この効果は、この特性を持つポケモンが何匹いても、重ならない。
304,ホップのカビゴン,MC,569/742,ポケモン/たね,n/a,トレーナーのポケモン（ホップ）,n/a,150,無,闘,n/a,4,ダイナミックプレス,●●●,140,このポケモンにも80ダメージ。
305,ノコッチ,MC,574/742,ポケモン/たね,n/a,n/a,n/a,70,無,闘,n/a,1,いれかわる,●,n/a,このポケモンをベンチポケモンと入れ替える。
305,ノコッチ,MC,574/742,ポケモン/たね,n/a,n/a,n/a,70,無,闘,n/a,1,ぶつかる,●●,20,n/a
306,ノココッチex,MC,575/742,ポケモン/1進化,ex,n/a,ノコッチ,270,無,闘,n/a,3,ぎゃっきょうテール,●,60×,相手の場の「ポケモン【ex】」の数×60ダメージ。
306,ノココッチex,MC,575/742,ポケモン/1進化,ex,n/a,ノコッチ,270,無,闘,n/a,3,ドリルブレイク,●●●,150,このワザのダメージは、相手のバトルポケモンにかかっている効果を計算しない。
307,ホップのココガラ,MC,622/742,ポケモン/たね,n/a,トレーナーのポケモン（ホップ）,n/a,60,無,雷,闘,1,こわいしせん,●,n/a,次の相手の番、このワザを受けたポケモンが使うワザのダメージは「-20」される。
